Userid,User_os,90days_purchase_time,90days_per_purchase_price,90days_purchase_amount,90days_coupon_time,90days_coupon_ratio,Last_purchase_day,group,is_add
1,iOS,2,102,204,0,0.0,60,对照组,1
2,Android,1,113,113,0,0.0,46,对照组,1
3,iOS,2,128,256,1,0.5,32,对照组,0
4,iOS,5,201,1005,2,0.4,83,对照组,0
5,iOS,4,736,2944,0,0.0,43,对照组,1
6,Android,4,156,624,2,0.5,88,对照组,0
7,iOS,2,537,1074,1,0.5,38,对照组,0
8,iOS,1,182,182,0,0.0,48,对照组,0
9,iOS,4,73,292,0,0.0,54,对照组,0
10,Android,2,140,280,0,0.0,65,对照组,0
11,iOS,13,274,3562,5,0.384615385,43,对照组,0
12,iOS,4,315,1260,0,0.0,12,对照组,1
13,iOS,2,78,156,2,1.0,86,对照组,0
14,iOS,2,134,268,2,1.0,63,对照组,1
15,Android,3,50,150,1,0.333333333,3,对照组,0
16,iOS,2,160,320,1,0.5,54,对照组,0
17,Android,6,308,1848,3,0.5,61,对照组,0
18,Android,3,189,567,2,0.666666667,40,对照组,0
19,Android,2,116,232,0,0.0,4,对照组,0
20,iOS,10,158,1580,0,0.0,38,对照组,0
21,Android,3,133,399,1,0.333333333,36,对照组,0
22,iOS,5,184,920,0,0.0,79,对照组,0
23,Android,2,110,220,0,0.0,90,对照组,0
24,Android,4,168,672,3,0.75,81,对照组,0
25,Android,3,218,654,1,0.333333333,38,对照组,0
26,Android,1,223,223,0,0.0,77,对照组,0
27,Android,11,69,759,6,0.545454545,53,对照组,1
28,Android,7,144,1008,4,0.571428571,61,对照组,1
29,Android,2,154,308,1,0.5,7,对照组,0
30,Android,1,192,192,0,0.0,25,对照组,0
31,iOS,3,194,582,3,1.0,53,对照组,0
32,iOS,3,111,333,1,0.333333333,87,对照组,1
33,Android,3,126,378,0,0.0,17,对照组,0
34,Android,3,91,273,0,0.0,4,对照组,0
35,Android,4,207,828,0,0.0,7,对照组,0
36,iOS,7,207,1449,2,0.285714286,69,对照组,0
37,Android,4,85,340,2,0.5,67,对照组,0
38,iOS,1,138,138,0,0.0,89,对照组,0
39,iOS,7,293,2051,0,0.0,75,对照组,1
40,iOS,9,162,1458,6,0.666666667,73,对照组,0
41,iOS,25,155,3875,22,0.88,80,对照组,0
42,iOS,1,151,151,0,0.0,10,对照组,0
43,Android,3,162,486,3,1.0,52,对照组,1
44,Android,1,145,145,0,0.0,72,对照组,0
45,Android,4,109,436,2,0.5,2,对照组,0
46,Android,2,256,512,1,0.5,41,对照组,0
47,Android,10,104,1040,8,0.8,58,对照组,0
48,iOS,2,139,278,1,0.5,68,对照组,0
49,Android,1,99,99,0,0.0,51,对照组,0
50,Android,2,141,282,0,0.0,78,对照组,0
51,iOS,1,178,178,0,0.0,89,对照组,1
52,Android,5,116,580,4,0.8,89,对照组,0
53,iOS,1,155,155,0,0.0,11,对照组,0
54,Android,3,149,447,0,0.0,61,对照组,0
55,iOS,1,195,195,0,0.0,7,对照组,0
56,Android,2,84,168,1,0.5,57,对照组,1
57,Android,9,131,1179,1,0.111111111,9,对照组,0
58,iOS,3,147,441,0,0.0,63,对照组,0
59,iOS,1,172,172,0,0.0,41,对照组,0
60,iOS,3,169,507,0,0.0,42,对照组,0
61,iOS,3,359,1077,0,0.0,58,对照组,1
62,iOS,4,166,664,3,0.75,53,对照组,1
63,iOS,1,490,490,0,0.0,52,对照组,0
64,iOS,4,149,596,2,0.5,48,对照组,0
65,iOS,1,107,107,0,0.0,45,对照组,1
66,Android,2,80,160,2,1.0,63,对照组,0
67,Android,2,95,190,0,0.0,90,对照组,0
68,iOS,4,334,1336,0,0.0,61,对照组,0
69,Android,3,133,399,0,0.0,38,对照组,0
70,Android,1,344,344,0,0.0,18,对照组,0
71,Android,1,132,132,0,0.0,50,对照组,0
72,Android,3,98,294,2,0.666666667,61,对照组,0
73,iOS,3,158,474,2,0.666666667,52,对照组,0
74,Android,2,173,346,2,1.0,70,对照组,0
75,iOS,2,202,404,0,0.0,41,对照组,0
76,Android,4,204,816,4,1.0,73,对照组,0
77,Android,2,123,246,2,1.0,78,对照组,1
78,Android,3,158,474,2,0.666666667,31,对照组,0
79,iOS,12,98,1176,6,0.5,77,对照组,1
80,Android,1,138,138,0,0.0,13,对照组,0
81,iOS,1,96,96,0,0.0,18,对照组,0
82,Android,5,266,1330,5,1.0,50,对照组,0
83,iOS,2,109,218,2,1.0,10,对照组,0
84,Android,2,332,664,2,1.0,35,对照组,1
85,iOS,2,126,252,1,0.5,13,对照组,0
86,iOS,2,99,198,2,1.0,29,对照组,0
